Block number,Date,From,To,Type,Coin name,Value,USD $,Gas Gwei,Exchange rate $
13488648,2021-10-25 23:08:03,0x7f8dc5747d34e8c89f540a1ddfc3e374aa65813d,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,0.7217083887,3044.077,145.0,4217.877
13488651,2021-10-25 23:08:50,0x3d6c23e6740152ea4563126aa496c7d8f2d9c6dc,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,0.1736535835,732.449,145.0,4217.877
13488751,2021-10-25 23:31:31,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,213.9243003,902306.386,220.0,4217.877
13488932,2021-10-26 00:10:36,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,0.185,764.254,213.0,4131.102
13622569,2021-11-15 23:06:23,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xd46f0a952f30808cdd890da0a6d90aa9518d13ec,OUT,ETH,214.9993387722,979860.346,253.5,4557.504
13671581,2021-11-23 17:14:56,0x9696f59e4d72e237be84ffd425dcad154bf96976,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,3.99993366,17362.768,174.0,4340.764
13671619,2021-11-23 17:22:01,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,180.5,4340.764
13671629,2021-11-23 17:25:25,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,179.5,4340.764
13689057,2021-11-26 11:59:00,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,40.41750235,162919.274,168.788702959,4030.909
13690053,2021-11-26 15:37:25,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1219336118028,1219336.118028,117.0,4030.909
13691742,2021-11-26 21:55:15,0x9696f59e4d72e237be84ffd425dcad154bf96976,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,115.1595202,464197.546,121.0,4030.909
13723796,2021-12-02 00:52:20,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xd46f0a952f30808cdd890da0a6d90aa9518d13ec,OUT,ETH,159.0,717297.018,166.0,4511.302
13741005,2021-12-04 19:04:53,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,110.0,4119.587
13741024,2021-12-04 19:07:51,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,104.5,4119.587
13741263,2021-12-04 20:00:34,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,248.75318105,1024760.371,114.985360624,4119.587
13742346,2021-12-05 00:18:51,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0x1a1709dd7407021c3ce0a56e9d85c5afe014117c,OUT,ETH,249.2806975285,1046560.886,133.5,4198.323
13753467,2021-12-06 18:58:39,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,IN,ETH,0.6295648,2744.107,150.0,4358.737
13753510,2021-12-06 19:07:01,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,119.0,4358.737
13753522,2021-12-06 19:09:38,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,110.0,4358.737
13759826,2021-12-07 19:27:32,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,95.5,4315.062
13785227,2021-12-11 19:35:49,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,80.0,4084.452
13785231,2021-12-11 19:36:41,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,80.0,4084.452
13799102,2021-12-13 22:41:39,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,116.5,3784.227
13799157,2021-12-13 22:54:48,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,118.0,3784.227
13811681,2021-12-15 21:37:17,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,141.5,4018.389
13811702,2021-12-15 21:42:22,0x21fea1281fa3665c35e2f53365bdf35d41de0afe,0xdac17f958d2ee523a2206206994597c13d831ec7,OUT,Tether USD,1000000000000,1000000.0,128.0,4018.389
